id_saih,catch_skm
EA001B,631.00
EA004,720.03
EA005,4578.61
EA006,119.59
EA007,329.73
EA008,278.90
EA009,77.19
EA010,2257.00
EA011,216.51
EA012,190.87
EA013,139.48
EA014,21.00
EA015,124.62
EA016,803.86
EA019,1400.00
EA020,321.79
EA021,170.61
EA023,3326.85
EA026,47.33
EA027,130.00
EA028,332.45
EA031,1884.63
EA033,736.91
EA035,181.01
EA037,146.27
EA039,68.58
EA040,114.99
EA041,85.00
EA045,110.17
EA046,150.00
EA047,1018.25
EA047A,1005.52
EA049,4907.79
EA050,76.00
EA051,60.50
EA052,755.57
EA053,917.20
EA056,107.17
EA058,68.84
EA060,1799.32
EA061,23.78
EA063,120.16
EA064,49.14
EA065,100.10
EA066,565.00
EA066A,556.92
EA067,1022.26
EA068,964.16
EA072,301.02
EA072A,301.02
EA074,904.00
EA075,66.59
EA076,120.00
EA077,452.56
EA078,332.58
EA079,821.98
EA080,2948.48
EA081,322.21
EA082,162.88
EA084,3571.55
EA085,1137.30
EA086,28.65
EA087,22.87
EA088,316.47
EA089,776.56
EA093,4842.00
EA094,33.00
EA095,32.71
EA096,27.00
EA097,55.60
EA098,78.00
EA099,3628.00
EA101,88.02
EA110,172.00
EA111,38.00
EA112,12.00
EA113,186.00
EA115,88.00
EA116,93.68
EA120,249.75
EA121,2901.95
EA122,11.80
EA123,136.42
EA124,82.17
EA125,206.55
EA131,143.82
EA132,203.69
EA134,30.98
EA138,203.70
EA139,205.01
EA140,1043.66
EA141,1048.85
