id_saih,catch_skm,cap_mcm
3,97.76,79.17
8,144.43,83.15
16,142.93,57.54
19,183.87,21.72
20,158.04,14.0
29,1594.51,153.30
30,1114.30,125.72
31,267.46,66.49
37,124.43,164.37
51,1082.74,105.36
58,523.58,62.90
64,346.44,52.90
84,2135.96,157.87
269,131.93,222.70
270,1354.02,200.20
271,1388.10,14.60
272,340.90,135.30
273,690.12,800.30
275,352.37,207.72
276,95.45,43.98
277,16.60,4.44
371,2149.87,341.38
373,207.05,59.50
374,285.79,12.00
375,86.74,2.00
376,166.88,29.00
377,167.33,18.00
379,162.39,42.64
380,741.78,634.40
